Time (sec)	L-shell	10 MeV/G	32 MeV/G	100 MeV/G	320 MeV/G	1000 MeV/G	3200 MeV/G	10000 MeV/G	32000 MeV/G	100000 MeV/G	320000 MeV/G
251326505	9.8736	0.000418307	7.56477E-05	1.17182E-05	1.30134E-06	1.13953E-07	7.74886E-09	4.94878E-10	2.79136E-11	1.60995E-12	8.57251E-14
297025505	9.8753	0.000751598	7.85104E-05	8.79803E-06	9.59362E-07	1.05812E-07	9.87456E-09	7.93931E-10	4.73942E-11	2.36762E-12	9.11195E-14
312074105	9.8754	0.000582447	4.96299E-05	4.66024E-06	4.42267E-07	4.50331E-08	4.16094E-09	3.61397E-10	2.58819E-11	1.71237E-12	9.61126E-14
343925705	9.8776	0.00026681	4.2874E-05	6.80326E-06	9.3278E-07	1.12025E-07	1.02399E-08	7.75743E-10	4.49926E-11	2.35708E-12	1.03882E-13
282665705	9.8787	0.003180162	0.000254502	2.21129E-05	1.87839E-06	1.6433E-07	1.24239E-08	8.57437E-10	4.78423E-11	2.48213E-12	1.09722E-13
251377505	9.8803	0.015428506	0.000593728	2.78008E-05	1.49642E-06	1.03578E-07	7.62171E-09	6.02346E-10	4.13982E-11	2.43526E-12	9.14716E-14
378411305	9.8855	0.00095186	8.11903E-05	7.48198E-06	6.72765E-07	6.25128E-08	5.12758E-09	3.97152E-10	2.60821E-11	1.65641E-12	9.31622E-14
307210505	9.8872	0.020850593	0.000669877	2.67081E-05	1.25246E-06	7.80867E-08	5.34102E-09	4.09276E-10	2.89148E-11	1.90215E-12	9.00144E-14
334805105	9.8893	0.00037466	0.000111247	2.5475E-05	3.59965E-06	3.37378E-07	2.14932E-08	1.18111E-09	5.41938E-11	2.47737E-12	1.02232E-13
326160305	9.8902	0.001917654	0.000148729	1.28184E-05	1.12542E-06	1.06868E-07	9.14537E-09	7.19675E-10	4.46189E-11	2.4295E-12	1.05982E-13
260562905	9.8970	0.007889875	0.000368282	2.0533E-05	1.29071E-06	1.01528E-07	8.32484E-09	7.15093E-10	5.17198E-11	2.99998E-12	9.59755E-14
291573905	9.9001	0.012371391	0.000527052	2.62781E-05	1.41418E-06	9.08381E-08	5.8301E-09	3.97429E-10	2.51389E-11	1.64585E-12	1.0002E-13
247647305	9.9007	0.00054469	6.00983E-05	6.94519E-06	7.52658E-07	7.96151E-08	7.05273E-09	5.59621E-10	3.59901E-11	2.16204E-12	1.12026E-13
326112305	9.9040	0.000461285	5.83916E-05	7.42718E-06	8.33416E-07	8.57294E-08	7.1239E-09	5.31166E-10	3.28678E-11	1.96207E-12	1.03868E-13
301334105	9.9049	0.000496234	6.12004E-05	7.77905E-06	9.06216E-07	9.96259E-08	8.84261E-09	6.76482E-10	4.03877E-11	2.18889E-12	9.98365E-14
337683905	9.9072	0.00196135	0.000126605	9.23694E-06	7.001E-07	5.9348E-08	4.71988E-09	3.67346E-10	2.44706E-11	1.5649E-12	8.7527E-14
260510105	9.9076	0.001368769	0.000110117	9.88965E-06	9.14711E-07	9.25935E-08	8.53833E-09	7.17339E-10	4.56429E-11	2.36403E-12	8.89027E-14
263454905	9.9088	0.003269574	0.000235219	1.30515E-05	6.4996E-07	3.9204E-08	2.58456E-09	1.99367E-10	1.5532E-11	1.32153E-12	1.09085E-13
279272705	9.9100	0.002553741	0.000148332	9.73728E-06	6.6113E-07	5.05412E-08	3.6976E-09	2.77081E-10	1.88635E-11	1.30828E-12	8.35796E-14
256883105	9.9113	0.012647544	0.000627277	3.56676E-05	2.1263E-06	1.44631E-07	9.33122E-09	6.03496E-10	3.41682E-11	1.91535E-12	9.59513E-14
343925105	9.9124	0.000170357	3.40499E-05	6.38079E-06	9.59755E-07	1.16971E-07	1.03725E-08	7.58877E-10	4.33932E-11	2.30717E-12	1.05915E-13
312073505	9.9133	0.000642067	5.25484E-05	4.79229E-06	4.49863E-07	4.63599E-08	4.4143E-09	3.95376E-10	2.8564E-11	1.82776E-12	9.43345E-14
274981505	9.9156	0.154333935	0.002268069	4.83095E-05	1.43699E-06	6.68995E-08	3.80064E-09	2.6684E-10	1.93663E-11	1.55661E-12	1.22057E-13
297080705	9.9156	0.014488585	0.000621616	3.20447E-05	1.87578E-06	1.38765E-07	1.0795E-08	8.82098E-10	6.04189E-11	3.33553E-12	1.00864E-13
307156505	9.9176	0.012319053	0.000605975	2.60759E-05	1.08562E-06	5.7342E-08	3.37722E-09	2.36037E-10	1.67351E-11	1.30284E-12	9.84095E-14
251325905	9.9218	0.0006664	0.000108049	1.5076E-05	1.51999E-06	1.23636E-07	8.00284E-09	4.97616E-10	2.77321E-11	1.59564E-12	8.52394E-14
378476705	9.9222	0.000223155	2.89659E-05	3.84291E-06	4.63184E-07	5.24819E-08	4.86678E-09	4.0062E-10	2.68618E-11	1.69689E-12	9.34483E-14
251378105	9.9249	0.078446417	0.001733756	4.91988E-05	1.71017E-06	8.42583E-08	4.82462E-09	3.33747E-10	2.36022E-11	1.83983E-12	1.39434E-13
378410705	9.9278	0.001254916	0.000103102	9.11217E-06	7.7941E-07	6.86503E-08	5.35212E-09	3.99742E-10	2.57917E-11	1.64023E-12	9.37875E-14
318200705	9.9311	0.001611263	0.000126861	1.0794E-05	8.94313E-07	7.70698E-08	5.9424E-09	4.44097E-10	2.89767E-11	1.87847E-12	1.10175E-13
256830305	9.9322	0.011793139	0.000602161	3.14951E-05	1.539E-06	8.44252E-08	4.72645E-09	2.99756E-10	1.87773E-11	1.27869E-12	8.36806E-14
263496905	9.9338	0.017813359	0.000541352	1.92702E-05	7.82601E-07	4.29557E-08	2.68342E-09	1.99839E-10	1.51446E-11	1.25929E-12	1.01757E-13
359231105	9.9341	0.014119327	0.000917903	5.5933E-05	2.86597E-06	1.52011E-07	7.88094E-09	4.54986E-10	2.56724E-11	1.57174E-12	9.2079E-14
351566105	9.9344	0.000897965	9.074E-05	9.8991E-06	1.06159E-06	1.16719E-07	1.09681E-08	8.87641E-10	5.24915E-11	2.52198E-12	8.99622E-14
326160905	9.9407	0.003800587	0.000228557	1.58718E-05	1.18747E-06	1.04028E-07	8.85905E-09	7.33458E-10	4.83329E-11	2.64118E-12	1.0307E-13
275033705	9.9428	0.11299748	0.002432894	6.69786E-05	2.23854E-06	1.04879E-07	5.61586E-09	3.57562E-10	2.28488E-11	1.5914E-12	1.06467E-13
279273305	9.9446	0.001658412	0.000110791	8.22566E-06	6.18538E-07	5.08274E-08	3.89022E-09	2.96887E-10	2.01366E-11	1.36858E-12	8.46578E-14
263454305	9.9458	0.016900895	0.000487079	1.71698E-05	7.08629E-07	3.98317E-08	2.55253E-09	1.94841E-10	1.51363E-11	1.28912E-12	1.06726E-13
282666305	9.9484	0.005046343	0.000491267	4.54313E-05	3.42823E-06	2.35312E-07	1.37622E-08	8.03486E-10	4.27651E-11	2.37356E-12	1.22806E-13
334804505	9.9497	0.00110293	0.000233817	4.05237E-05	4.66433E-06	3.86368E-07	2.29927E-08	1.2248E-09	5.56166E-11	2.54701E-12	1.06032E-13
